#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    89   0.231330E+04  -0.157156E+02   0.444343E-03  -0.157156E+02   0.574361E+00  -0.835936E-06   0.444343E-03  -0.835936E-06   0.100447E-06
    90   0.234182E+04  -0.163179E+02   0.438290E-03  -0.163179E+02   0.589008E+00  -0.891863E-06   0.438290E-03  -0.891863E-06   0.997875E-07
    91   0.237048E+04  -0.169257E+02   0.432385E-03  -0.169257E+02   0.603651E+00  -0.935663E-06   0.432385E-03  -0.935663E-06   0.991311E-07
    92   0.239941E+04  -0.175381E+02   0.426624E-03  -0.175381E+02   0.618273E+00  -0.967280E-06   0.426624E-03  -0.967280E-06   0.984782E-07
    93   0.242863E+04  -0.181551E+02   0.421001E-03  -0.181551E+02   0.632869E+00  -0.987683E-06   0.421001E-03  -0.987683E-06   0.978289E-07
    94   0.245791E+04  -0.187755E+02   0.415512E-03  -0.187755E+02   0.647402E+00  -0.997840E-06   0.415512E-03  -0.997840E-06   0.971832E-07
    95   0.248748E+04  -0.193999E+02   0.410152E-03  -0.193999E+02   0.661873E+00  -0.998718E-06   0.410152E-03  -0.998718E-06   0.965411E-07
    96   0.251703E+04  -0.200275E+02   0.404916E-03  -0.200275E+02   0.676268E+00  -0.991287E-06   0.404916E-03  -0.991287E-06   0.959028E-07
    97   0.254702E+04  -0.206578E+02   0.399800E-03  -0.206578E+02   0.690573E+00  -0.976515E-06   0.399800E-03  -0.976515E-06   0.952681E-07
    98   0.257722E+04  -0.212885E+02   0.394799E-03  -0.212885E+02   0.704781E+00  -0.955370E-06   0.394799E-03  -0.955370E-06   0.946373E-07
    99   0.260749E+04  -0.219227E+02   0.389908E-03  -0.219227E+02   0.718855E+00  -0.928821E-06   0.389908E-03  -0.928821E-06   0.940103E-07
   100   0.263804E+04  -0.225558E+02   0.385122E-03  -0.225558E+02   0.732797E+00  -0.897835E-06   0.385122E-03  -0.897835E-06   0.933872E-07
   101   0.266874E+04  -0.231909E+02   0.380438E-03  -0.231909E+02   0.746666E+00  -0.863382E-06   0.380438E-03  -0.863382E-06   0.927680E-07
   102   0.269995E+04  -0.238258E+02   0.375850E-03  -0.238258E+02   0.760315E+00  -0.826429E-06   0.375850E-03  -0.826429E-06   0.921528E-07
   103   0.273108E+04  -0.244613E+02   0.371354E-03  -0.244613E+02   0.773819E+00  -0.787945E-06   0.371354E-03  -0.787945E-06   0.915416E-07
   104   0.276242E+04  -0.250944E+02   0.366944E-03  -0.250944E+02   0.787178E+00  -0.748898E-06   0.366944E-03  -0.748898E-06   0.909345E-07
   105   0.279392E+04  -0.257267E+02   0.362618E-03  -0.257267E+02   0.800319E+00  -0.710257E-06   0.362618E-03  -0.710257E-06   0.903315E-07
   106   0.282563E+04  -0.263575E+02   0.358368E-03  -0.263575E+02   0.813317E+00  -0.672989E-06   0.358368E-03  -0.672989E-06   0.897327E-07
   107   0.285726E+04  -0.269852E+02   0.354192E-03  -0.269852E+02   0.826025E+00  -0.638064E-06   0.354192E-03  -0.638064E-06   0.891380E-07
   108   0.288926E+04  -0.276108E+02   0.350084E-03  -0.276108E+02   0.838516E+00  -0.606450E-06   0.350084E-03  -0.606450E-06   0.885476E-07
