#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    97   0.254702E+04  -0.206578E+02   0.400751E-03  -0.206578E+02   0.690573E+00  -0.976441E-06   0.400751E-03  -0.976441E-06   0.958684E-07
    98   0.257722E+04  -0.212885E+02   0.395743E-03  -0.212885E+02   0.704781E+00  -0.955292E-06   0.395743E-03  -0.955292E-06   0.952389E-07
    99   0.260749E+04  -0.219227E+02   0.390845E-03  -0.219227E+02   0.718855E+00  -0.928740E-06   0.390845E-03  -0.928740E-06   0.946131E-07
   100   0.263804E+04  -0.225558E+02   0.386053E-03  -0.225558E+02   0.732797E+00  -0.897751E-06   0.386053E-03  -0.897751E-06   0.939911E-07
   101   0.266874E+04  -0.231909E+02   0.381363E-03  -0.231909E+02   0.746666E+00  -0.863294E-06   0.381363E-03  -0.863294E-06   0.933731E-07
   102   0.269995E+04  -0.238258E+02   0.376768E-03  -0.238258E+02   0.760315E+00  -0.826337E-06   0.376768E-03  -0.826337E-06   0.927590E-07
   103   0.273108E+04  -0.244613E+02   0.372266E-03  -0.244613E+02   0.773819E+00  -0.787850E-06   0.372266E-03  -0.787850E-06   0.921488E-07
   104   0.276242E+04  -0.250944E+02   0.367850E-03  -0.250944E+02   0.787178E+00  -0.748800E-06   0.367850E-03  -0.748800E-06   0.915427E-07
   105   0.279392E+04  -0.257267E+02   0.363517E-03  -0.257267E+02   0.800319E+00  -0.710156E-06   0.363517E-03  -0.710156E-06   0.909407E-07
   106   0.282563E+04  -0.263575E+02   0.359261E-03  -0.263575E+02   0.813317E+00  -0.672886E-06   0.359261E-03  -0.672886E-06   0.903427E-07
   107   0.285726E+04  -0.269852E+02   0.355079E-03  -0.269852E+02   0.826025E+00  -0.637958E-06   0.355079E-03  -0.637958E-06   0.897490E-07
   108   0.288926E+04  -0.276108E+02   0.350965E-03  -0.276108E+02   0.838516E+00  -0.606342E-06   0.350965E-03  -0.606342E-06   0.891594E-07
   109   0.292142E+04  -0.282326E+02   0.346915E-03  -0.282326E+02   0.850718E+00  -0.579005E-06   0.346915E-03  -0.579005E-06   0.885741E-07
   110   0.295364E+04  -0.288494E+02   0.342923E-03  -0.288494E+02   0.862631E+00  -0.556915E-06   0.342923E-03  -0.556915E-06   0.879931E-07
   111   0.298601E+04  -0.294625E+02   0.338987E-03  -0.294625E+02   0.874330E+00  -0.540805E-06   0.338987E-03  -0.540805E-06   0.874164E-07
   112   0.301854E+04  -0.300712E+02   0.335105E-03  -0.300712E+02   0.885742E+00  -0.530455E-06   0.335105E-03  -0.530455E-06   0.868441E-07
   113   0.305128E+04  -0.306741E+02   0.331278E-03  -0.306741E+02   0.896867E+00  -0.525408E-06   0.331278E-03  -0.525408E-06   0.862761E-07
   114   0.308409E+04  -0.312704E+02   0.327505E-03  -0.312704E+02   0.907630E+00  -0.525210E-06   0.327505E-03  -0.525210E-06   0.857125E-07
   115   0.311713E+04  -0.318600E+02   0.323786E-03  -0.318600E+02   0.918181E+00  -0.529403E-06   0.323786E-03  -0.529403E-06   0.851531E-07
   116   0.315016E+04  -0.324422E+02   0.320122E-03  -0.324422E+02   0.928297E+00  -0.537531E-06   0.320122E-03  -0.537531E-06   0.845981E-07
   117   0.318348E+04  -0.330162E+02   0.316511E-03  -0.330162E+02   0.938053E+00  -0.549139E-06   0.316511E-03  -0.549139E-06   0.840474E-07
   118   0.321694E+04  -0.335828E+02   0.312955E-03  -0.335828E+02   0.947597E+00  -0.563771E-06   0.312955E-03  -0.563771E-06   0.835010E-07
   119   0.325040E+04  -0.341397E+02   0.309453E-03  -0.341397E+02   0.956782E+00  -0.580969E-06   0.309453E-03  -0.580969E-06   0.829588E-07
   120   0.328399E+04  -0.346869E+02   0.306005E-03  -0.346869E+02   0.965459E+00  -0.600278E-06   0.306005E-03  -0.600278E-06   0.824210E-07
   121   0.331758E+04  -0.352243E+02   0.302611E-03  -0.352243E+02   0.973925E+00  -0.621242E-06   0.302611E-03  -0.621242E-06   0.818874E-07
   122   0.335122E+04  -0.357513E+02   0.299271E-03  -0.357513E+02   0.981885E+00  -0.643405E-06   0.299271E-03  -0.643405E-06   0.813581E-07
   123   0.338494E+04  -0.362678E+02   0.295985E-03  -0.362678E+02   0.989411E+00  -0.666310E-06   0.295985E-03  -0.666310E-06   0.808331E-07
   124   0.341871E+04  -0.367708E+02   0.292754E-03  -0.367708E+02   0.996580E+00  -0.689501E-06   0.292754E-03  -0.689501E-06   0.803123E-07
   125   0.345247E+04  -0.372625E+02   0.289576E-03  -0.372625E+02   0.100332E+01  -0.712523E-06   0.289576E-03  -0.712523E-06   0.797957E-07
   126   0.348629E+04  -0.377422E+02   0.286452E-03  -0.377422E+02   0.100970E+01  -0.734918E-06   0.286452E-03  -0.734918E-06   0.792834E-07
   127   0.352009E+04  -0.382090E+02   0.283382E-03  -0.382090E+02   0.101557E+01  -0.756232E-06   0.283382E-03  -0.756232E-06   0.787753E-07
   128   0.355387E+04  -0.386623E+02   0.280365E-03  -0.386623E+02   0.102109E+01  -0.776007E-06   0.280365E-03  -0.776007E-06   0.782715E-07
   129   0.358771E+04  -0.391013E+02   0.277403E-03  -0.391013E+02   0.102610E+01  -0.793788E-06   0.277403E-03  -0.793788E-06   0.777718E-07
   130   0.362154E+04  -0.395252E+02   0.274494E-03  -0.395252E+02   0.103061E+01  -0.809119E-06   0.274494E-03  -0.809119E-06   0.772764E-07
   131   0.365534E+04  -0.399355E+02   0.271639E-03  -0.399355E+02   0.103476E+01  -0.821649E-06   0.271639E-03  -0.821649E-06   0.767852E-07
   132   0.368920E+04  -0.403293E+02   0.268836E-03  -0.403293E+02   0.103841E+01  -0.831457E-06   0.268836E-03  -0.831457E-06   0.762981E-07
   133   0.372297E+04  -0.407087E+02   0.266084E-03  -0.407087E+02   0.104162E+01  -0.838728E-06   0.266084E-03  -0.838728E-06   0.758152E-07
   134   0.375672E+04  -0.410695E+02   0.263380E-03  -0.410695E+02   0.104441E+01  -0.843644E-06   0.263380E-03  -0.843644E-06   0.753364E-07
   135   0.379045E+04  -0.414146E+02   0.260724E-03  -0.414146E+02   0.104670E+01  -0.846392E-06   0.260724E-03  -0.846392E-06   0.748616E-07
   136   0.382402E+04  -0.417403E+02   0.258113E-03  -0.417403E+02   0.104848E+01  -0.847155E-06   0.258113E-03  -0.847155E-06   0.743910E-07
   137   0.385759E+04  -0.420489E+02   0.255546E-03  -0.420489E+02   0.104984E+01  -0.846117E-06   0.255546E-03  -0.846117E-06   0.739243E-07
   138   0.389106E+04  -0.423390E+02   0.253021E-03  -0.423390E+02   0.105069E+01  -0.843464E-06   0.253021E-03  -0.843464E-06   0.734616E-07
   139   0.392430E+04  -0.426097E+02   0.250537E-03  -0.426097E+02   0.105119E+01  -0.839379E-06   0.250537E-03  -0.839379E-06   0.730029E-07
   140   0.395761E+04  -0.428621E+02   0.248092E-03  -0.428621E+02   0.105112E+01  -0.834047E-06   0.248092E-03  -0.834047E-06   0.725481E-07
   141   0.399069E+04  -0.430937E+02   0.245684E-03  -0.430937E+02   0.105054E+01  -0.827652E-06   0.245684E-03  -0.827652E-06   0.720972E-07
   142   0.402376E+04  -0.433055E+02   0.243312E-03  -0.433055E+02   0.104954E+01  -0.820378E-06   0.243312E-03  -0.820378E-06   0.716501E-07
   143   0.405675E+04  -0.434974E+02   0.240975E-03  -0.434974E+02   0.104811E+01  -0.812411E-06   0.240975E-03  -0.812411E-06   0.712069E-07
   144   0.408952E+04  -0.436687E+02   0.238669E-03  -0.436687E+02   0.104618E+01  -0.803934E-06   0.238669E-03  -0.803934E-06   0.707675E-07
   145   0.412213E+04  -0.438188E+02   0.236394E-03  -0.438188E+02   0.104390E+01  -0.795131E-06   0.236394E-03  -0.795131E-06   0.703319E-07
   146   0.415482E+04  -0.439477E+02   0.234149E-03  -0.439477E+02   0.104104E+01  -0.786188E-06   0.234149E-03  -0.786188E-06   0.699000E-07
   147   0.418714E+04  -0.440539E+02   0.231931E-03  -0.440539E+02   0.103784E+01  -0.777288E-06   0.231931E-03  -0.777288E-06   0.694718E-07
   148   0.421930E+04  -0.441390E+02   0.229739E-03  -0.441390E+02   0.103414E+01  -0.768616E-06   0.229739E-03  -0.768616E-06   0.690473E-07
   149   0.425140E+04  -0.442014E+02   0.227571E-03  -0.442014E+02   0.103001E+01  -0.760357E-06   0.227571E-03  -0.760357E-06   0.686265E-07
   150   0.428321E+04  -0.442391E+02   0.225425E-03  -0.442391E+02   0.102553E+01  -0.752694E-06   0.225425E-03  -0.752694E-06   0.682093E-07
   151   0.431487E+04  -0.442550E+02   0.223301E-03  -0.442550E+02   0.102063E+01  -0.745771E-06   0.223301E-03  -0.745771E-06   0.677957E-07
   152   0.434623E+04  -0.442476E+02   0.221198E-03  -0.442476E+02   0.101523E+01  -0.739567E-06   0.221198E-03  -0.739567E-06   0.673856E-07
   153   0.437745E+04  -0.442147E+02   0.219116E-03  -0.442147E+02   0.100948E+01  -0.734021E-06   0.219116E-03  -0.734021E-06   0.669791E-07
   154   0.440846E+04  -0.441585E+02   0.217055E-03  -0.441585E+02   0.100338E+01  -0.729071E-06   0.217055E-03  -0.729071E-06   0.665760E-07
   155   0.443924E+04  -0.440783E+02   0.215016E-03  -0.440783E+02   0.996934E+00  -0.724655E-06   0.215016E-03  -0.724655E-06   0.661765E-07
   156   0.446965E+04  -0.439741E+02   0.212997E-03  -0.439741E+02   0.990133E+00  -0.720712E-06   0.212997E-03  -0.720712E-06   0.657804E-07
   157   0.449999E+04  -0.438443E+02   0.211000E-03  -0.438443E+02   0.982981E+00  -0.717179E-06   0.211000E-03  -0.717179E-06   0.653878E-07
   158   0.453003E+04  -0.436898E+02   0.209025E-03  -0.436898E+02   0.975552E+00  -0.713995E-06   0.209025E-03  -0.713995E-06   0.649986E-07
   159   0.455977E+04  -0.435104E+02   0.207070E-03  -0.435104E+02   0.967697E+00  -0.711099E-06   0.207070E-03  -0.711099E-06   0.646128E-07
   160   0.458929E+04  -0.433048E+02   0.205138E-03  -0.433048E+02   0.959565E+00  -0.708429E-06   0.205138E-03  -0.708429E-06   0.642303E-07
   161   0.461858E+04  -0.430744E+02   0.203227E-03  -0.430744E+02   0.951228E+00  -0.705922E-06   0.203227E-03  -0.705922E-06   0.638512E-07
