#    L    TT             EE             BB             TE          
   280   0.458674E+04   0.570267E+01   0.225031E-01   0.102423E+03
   281   0.455724E+04   0.584613E+01   0.226361E-01   0.103388E+03
   282   0.452729E+04   0.599124E+01   0.227685E-01   0.104325E+03
   283   0.449721E+04   0.613822E+01   0.229003E-01   0.105232E+03
   284   0.446690E+04   0.628700E+01   0.230317E-01   0.106110E+03
   285   0.443638E+04   0.643758E+01   0.231624E-01   0.106959E+03
   286   0.440556E+04   0.658981E+01   0.232926E-01   0.107771E+03
   287   0.437453E+04   0.674369E+01   0.234223E-01   0.108561E+03
   288   0.434335E+04   0.689922E+01   0.235513E-01   0.109315E+03
   289   0.431196E+04   0.705633E+01   0.236798E-01   0.110040E+03
   290   0.428043E+04   0.721486E+01   0.238077E-01   0.110736E+03
   291   0.424875E+04   0.737557E+01   0.239350E-01   0.111388E+03
   292   0.421663E+04   0.753734E+01   0.240617E-01   0.112019E+03
   293   0.418466E+04   0.769979E+01   0.241879E-01   0.112605E+03
   294   0.415240E+04   0.786442E+01   0.243134E-01   0.113170E+03
   295   0.412022E+04   0.802973E+01   0.244383E-01   0.113691E+03
   296   0.408775E+04   0.819722E+01   0.245626E-01   0.114183E+03
   297   0.405521E+04   0.836466E+01   0.246862E-01   0.114647E+03
   298   0.402245E+04   0.853427E+01   0.248093E-01   0.115066E+03
   299   0.398970E+04   0.870532E+01   0.249317E-01   0.115449E+03
   300   0.395681E+04   0.887631E+01   0.250535E-01   0.115796E+03
   301   0.392384E+04   0.904874E+01   0.251747E-01   0.116114E+03
   302   0.389088E+04   0.922186E+01   0.252952E-01   0.116404E+03
   303   0.385785E+04   0.939642E+01   0.254151E-01   0.116649E+03
   304   0.382475E+04   0.957242E+01   0.255344E-01   0.116851E+03
   305   0.379166E+04   0.974838E+01   0.256530E-01   0.117024E+03
   306   0.375849E+04   0.992503E+01   0.257710E-01   0.117161E+03
   307   0.372533E+04   0.101024E+02   0.258883E-01   0.117254E+03
   308   0.369217E+04   0.102819E+02   0.260050E-01   0.117325E+03
   309   0.365909E+04   0.104607E+02   0.261210E-01   0.117346E+03
   310   0.362594E+04   0.106394E+02   0.262364E-01   0.117338E+03
   311   0.359287E+04   0.108203E+02   0.263511E-01   0.117285E+03
   312   0.355987E+04   0.110005E+02   0.264652E-01   0.117204E+03
   313   0.352687E+04   0.111814E+02   0.265786E-01   0.117080E+03
   314   0.349395E+04   0.113629E+02   0.266914E-01   0.116926E+03
   315   0.346111E+04   0.115437E+02   0.268035E-01   0.116729E+03
   316   0.342834E+04   0.117252E+02   0.269150E-01   0.116495E+03
   317   0.339565E+04   0.119060E+02   0.270258E-01   0.116225E+03
   318   0.336303E+04   0.120882E+02   0.271360E-01   0.115919E+03
   319   0.333056E+04   0.122697E+02   0.272455E-01   0.115576E+03
   320   0.329824E+04   0.124511E+02   0.273545E-01   0.115205E+03
   321   0.326600E+04   0.126333E+02   0.274627E-01   0.114790E+03
   322   0.323390E+04   0.128140E+02   0.275704E-01   0.114338E+03
   323   0.320195E+04   0.129946E+02   0.276774E-01   0.113850E+03
   324   0.317015E+04   0.131760E+02   0.277838E-01   0.113319E+03
   325   0.313857E+04   0.133544E+02   0.278896E-01   0.112766E+03
   326   0.310707E+04   0.135343E+02   0.279948E-01   0.112161E+03
   327   0.307578E+04   0.137135E+02   0.280994E-01   0.111528E+03
   328   0.304472E+04   0.138911E+02   0.282034E-01   0.110866E+03
   329   0.301380E+04   0.140688E+02   0.283069E-01   0.110160E+03
   330   0.298311E+04   0.142450E+02   0.284097E-01   0.109418E+03
   331   0.295271E+04   0.144204E+02   0.285120E-01   0.108646E+03
   332   0.292245E+04   0.145959E+02   0.286138E-01   0.107846E+03
   333   0.289241E+04   0.147698E+02   0.287150E-01   0.107009E+03
   334   0.286267E+04   0.149431E+02   0.288157E-01   0.106136E+03
   335   0.283307E+04   0.151141E+02   0.289159E-01   0.105227E+03
   336   0.280377E+04   0.152845E+02   0.290156E-01   0.104289E+03
   337   0.277476E+04   0.154540E+02   0.291148E-01   0.103307E+03
   338   0.274596E+04   0.156214E+02   0.292135E-01   0.102303E+03
   339   0.271753E+04   0.157888E+02   0.293118E-01   0.101263E+03
   340   0.268932E+04   0.159540E+02   0.294096E-01   0.100201E+03
   341   0.266133E+04   0.161171E+02   0.295070E-01   0.990952E+02
   342   0.263370E+04   0.162801E+02   0.296040E-01   0.979606E+02
   343   0.260636E+04   0.164402E+02   0.297006E-01   0.967969E+02
   344   0.257939E+04   0.165989E+02   0.297968E-01   0.956042E+02
   345   0.255263E+04   0.167554E+02   0.298926E-01   0.943825E+02
   346   0.252624E+04   0.169111E+02   0.299882E-01   0.931391E+02
   347   0.250013E+04   0.170640E+02   0.300834E-01   0.918592E+02
   348   0.247439E+04   0.172146E+02   0.301782E-01   0.905503E+02
   349   0.244894E+04   0.173639E+02   0.302728E-01   0.892123E+02
   350   0.242385E+04   0.175102E+02   0.303672E-01   0.878526E+02
   351   0.239927E+04   0.176551E+02   0.304613E-01   0.864638E+02
   352   0.237484E+04   0.177978E+02   0.305551E-01   0.850459E+02
   353   0.235083E+04   0.179376E+02   0.306488E-01   0.836137E+02
   354   0.232712E+04   0.180753E+02   0.307422E-01   0.821449E+02
   355   0.230384E+04   0.182107E+02   0.308355E-01   0.806544E+02
   356   0.228093E+04   0.183440E+02   0.309286E-01   0.791496E+02
   357   0.225838E+04   0.184744E+02   0.310216E-01   0.776157E+02
   358   0.223626E+04   0.186012E+02   0.311145E-01   0.760674E+02
   359   0.221443E+04   0.187258E+02   0.312072E-01   0.744898E+02
   360   0.219304E+04   0.188483E+02   0.312999E-01   0.728942E+02
   361   0.217201E+04   0.189678E+02   0.313926E-01   0.712760E+02
   362   0.215142E+04   0.190845E+02   0.314852E-01   0.696383E+02
   363   0.213119E+04   0.191990E+02   0.315777E-01   0.679831E+02
   364   0.211140E+04   0.193091E+02   0.316703E-01   0.663068E+02
   365   0.209197E+04   0.194171E+02   0.317629E-01   0.646154E+02
   366   0.207298E+04   0.195222E+02   0.318555E-01   0.629057E+02
   367   0.205442E+04   0.196229E+02   0.319482E-01   0.611801E+02
   368   0.203615E+04   0.197215E+02   0.320410E-01   0.594400E+02
   369   0.201847E+04   0.198172E+02   0.321338E-01   0.576831E+02
   370   0.200114E+04   0.199093E+02   0.322267E-01   0.559147E+02
   371   0.198419E+04   0.199978E+02   0.323198E-01   0.541310E+02
   372   0.196766E+04   0.200834E+02   0.324130E-01   0.523364E+02
   373   0.195158E+04   0.201654E+02   0.325064E-01   0.505280E+02
   374   0.193593E+04   0.202445E+02   0.325999E-01   0.487095E+02
   375   0.192064E+04   0.203200E+02   0.326936E-01   0.468807E+02
   376   0.190587E+04   0.203926E+02   0.327876E-01   0.450418E+02
   377   0.189153E+04   0.204609E+02   0.328817E-01   0.431956E+02
   378   0.187756E+04   0.205255E+02   0.329761E-01   0.413393E+02
   379   0.186402E+04   0.205873E+02   0.330708E-01   0.394771E+02
   380   0.185099E+04   0.206463E+02   0.331657E-01   0.376069E+02
   381   0.183833E+04   0.206986E+02   0.332609E-01   0.357315E+02
   382   0.182603E+04   0.207497E+02   0.333564E-01   0.338519E+02
   383   0.181424E+04   0.207963E+02   0.334522E-01   0.319663E+02
   384   0.180296E+04   0.208386E+02   0.335484E-01   0.300786E+02
   385   0.179197E+04   0.208789E+02   0.336448E-01   0.281871E+02
   386   0.178149E+04   0.209148E+02   0.337417E-01   0.262942E+02
   387   0.177138E+04   0.209463E+02   0.338389E-01   0.243998E+02
   388   0.176170E+04   0.209743E+02   0.339365E-01   0.225053E+02
   389   0.175246E+04   0.209964E+02   0.340346E-01   0.206108E+02
   390   0.174366E+04   0.210180E+02   0.341330E-01   0.187184E+02
   391   0.173529E+04   0.210344E+02   0.342319E-01   0.168266E+02
   392   0.172729E+04   0.210488E+02   0.343312E-01   0.149384E+02
