#    L    TT             EE             TE             PP             TP          
    67   0.174393E+04   0.275353E+00  -0.449712E+01   0.525604E+07   0.104090E+05
    68   0.176742E+04   0.287192E+00  -0.490075E+01   0.522737E+07   0.102291E+05
    69   0.179108E+04   0.299232E+00  -0.531176E+01   0.519856E+07   0.100551E+05
    70   0.181505E+04   0.311516E+00  -0.573172E+01   0.516963E+07   0.988872E+04
    71   0.183916E+04   0.324032E+00  -0.616291E+01   0.514059E+07   0.973124E+04
    72   0.186345E+04   0.336755E+00  -0.660678E+01   0.511145E+07   0.958184E+04
    73   0.188788E+04   0.349650E+00  -0.706401E+01   0.508223E+07   0.943921E+04
    74   0.191251E+04   0.362706E+00  -0.753381E+01   0.505291E+07   0.930207E+04
    75   0.193746E+04   0.375933E+00  -0.801482E+01   0.502351E+07   0.916910E+04
    76   0.196268E+04   0.389333E+00  -0.850647E+01   0.499404E+07   0.903913E+04
    77   0.198823E+04   0.402896E+00  -0.900857E+01   0.496449E+07   0.891146E+04
    78   0.201414E+04   0.416649E+00  -0.952253E+01   0.493491E+07   0.878553E+04
    79   0.204022E+04   0.430536E+00  -0.100445E+02   0.490530E+07   0.866077E+04
    80   0.206659E+04   0.444561E+00  -0.105759E+02   0.487570E+07   0.853659E+04
    81   0.209313E+04   0.458675E+00  -0.111172E+02   0.484611E+07   0.841266E+04
    82   0.211992E+04   0.472898E+00  -0.116674E+02   0.481655E+07   0.828948E+04
    83   0.214690E+04   0.487205E+00  -0.122260E+02   0.478703E+07   0.816779E+04
    84   0.217413E+04   0.501595E+00  -0.127910E+02   0.475757E+07   0.804834E+04
    85   0.220149E+04   0.516040E+00  -0.133636E+02   0.472818E+07   0.793186E+04
    86   0.222905E+04   0.530555E+00  -0.139426E+02   0.469887E+07   0.781891E+04
    87   0.225703E+04   0.545108E+00  -0.145273E+02   0.466965E+07   0.770941E+04
    88   0.228499E+04   0.559715E+00  -0.151177E+02   0.464052E+07   0.760311E+04
    89   0.231330E+04   0.574361E+00  -0.157156E+02   0.461150E+07   0.749974E+04
    90   0.234182E+04   0.589008E+00  -0.163179E+02   0.458259E+07   0.739906E+04
    91   0.237048E+04   0.603651E+00  -0.169257E+02   0.455380E+07   0.730082E+04
    92   0.239941E+04   0.618273E+00  -0.175381E+02   0.452513E+07   0.720494E+04
    93   0.242863E+04   0.632869E+00  -0.181551E+02   0.449658E+07   0.711133E+04
    94   0.245791E+04   0.647402E+00  -0.187755E+02   0.446817E+07   0.701992E+04
    95   0.248748E+04   0.661873E+00  -0.193999E+02   0.443988E+07   0.693062E+04
    96   0.251703E+04   0.676268E+00  -0.200275E+02   0.441172E+07   0.684337E+04
    97   0.254702E+04   0.690573E+00  -0.206578E+02   0.438370E+07   0.675808E+04
    98   0.257722E+04   0.704781E+00  -0.212885E+02   0.435582E+07   0.667468E+04
    99   0.260749E+04   0.718855E+00  -0.219227E+02   0.432809E+07   0.659310E+04
   100   0.263804E+04   0.732797E+00  -0.225558E+02   0.430050E+07   0.651324E+04
   101   0.266874E+04   0.746666E+00  -0.231909E+02   0.427306E+07   0.643505E+04
